"procedure_id","procedure_name_ar","procedure_name_en","procedure_year","procedure_number","instance_date","actual_worth","row_status_code","procedure_area","property_type_id","property_type_ar","property_type_en","property_sub_type_id","property_sub_type_ar","property_sub_type_en","area_id","area_name_ar","area_name_en","actual_area","property_total_value"
"24","تقييم عقار","Property Evaluation","2005","297","14-05-2005","1800000.00","COMPLETED","1858.06","1","ارض","Land","63","سكنية","Residential","396","الخوانيج الأولى","Al Khawaneej First","1858.00","1800000.00"
"24","تقييم عقار","Property Evaluation","2007","299","12-04-2007","9000000.00","COMPLETED","166.67","1","ارض","Land","62","تجارية","Commercial","235","عيال ناصر","Eyal Nasser","158.44","9000000.00"
"24","تقييم عقار","Property Evaluation","2002","301","24-06-2002","6000000.00","COMPLETED","209.12","1","ارض","Land","62","تجارية","Commercial","242","الراس","Al Ras","209.12","6000000.00"
"24","تقييم عقار","Property Evaluation","2003","305","14-06-2003","750000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","393","البرشاء الثانيه","Al Barsha Second","1393.51","750000.00"
"24","تقييم عقار","Property Evaluation","2005","307","14-05-2005","3000000.00","COMPLETED","335.75","1","ارض","Land","62","تجارية","Commercial","233","هور العنز","Hor Al Anz","345.04","3000000.00"
"24","تقييم عقار","Property Evaluation","2006","309","08-04-2006","2500000.00","COMPLETED","211.35","1","ارض","Land","62","تجارية","Commercial","271","الكرامه","Al Karama","211.35","2500000.00"
"24","تقييم عقار","Property Evaluation","2004","310","03-05-2004","978000.00","COMPLETED","227.15","1","ارض","Land","62","تجارية","Commercial","267","الرفاعه","Al Raffa","205.41","978000.00"
"24","تقييم عقار","Property Evaluation","2004","314","03-05-2004","21640800.00","COMPLETED","1675.41","1","ارض","Land","62","تجارية","Commercial","240","بور سعيد","Port Saeed","1675.41","21640800.00"
"24","تقييم عقار","Property Evaluation","2006","314","09-04-2006","16000000.00","COMPLETED","2508.38","1","ارض","Land","62","تجارية","Commercial","233","هور العنز","Hor Al Anz","2497.23","16000000.00"
"24","تقييم عقار","Property Evaluation","2004","315","03-05-2004","825000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","359","الطوار الثالثه","Al Twar Third","1393.55","825000.00"
"24","تقييم عقار","Property Evaluation","2004","317","03-05-2004","1100000.00","COMPLETED","522.58","1","ارض","Land","63","سكنية","Residential","230","ابو هيل","Abu Hail","522.58","1100000.00"
"24","تقييم عقار","Property Evaluation","2003","321","24-06-2003","8000000.00","COMPLETED","741.83","1","ارض","Land","62","تجارية","Commercial","269","الحمريه","Al Hamriya","741.83","8000000.00"
"24","تقييم عقار","Property Evaluation","2002","326","21-07-2002","850000.00","COMPLETED","1858.06","1","ارض","Land","63","سكنية","Residential","312","محيصنه الاولى","Muhaisanah First","1839.48","850000.00"
"24","تقييم عقار","Property Evaluation","2007","333","25-04-2007","6000000.00","COMPLETED","924.57","1","ارض","Land","63","سكنية","Residential","232","مردف","Mirdif","924.57","6000000.00"
"24","تقييم عقار","Property Evaluation","2009","333","25-03-2009","4500000.00","COMPLETED","1393.55","1","ارض","Land","12","كراج او ورش الصيانة","Workshop","321","القصيص الصناعيه الثالثه","Al Qusais Industrial Third","1394.00","4500000.00"
"24","تقييم عقار","Property Evaluation","2009","337","25-03-2009","6116000.00","COMPLETED","5681.95","1","ارض","Land","64","زراعية","Agricultural","345","ورسان الثالثه","Al Warsan Third","5681.95","6116000.00"
"24","تقييم عقار","Property Evaluation","2008","342","06-03-2008","2505000.00","COMPLETED","278.71","1","ارض","Land","63","سكنية","Residential","317","جميرا الاولى","Jumeirah First","233.00","2505000.00"
"24","تقييم عقار","Property Evaluation","2002","346","03-08-2002","1300000.00","COMPLETED","2415.48","1","ارض","Land","63","سكنية","Residential","394","المزهر الثانيه","Al Mizhar Second","2415.48","1300000.00"
"24","تقييم عقار","Property Evaluation","2007","346","29-04-2007","3000000.00","COMPLETED","1681.54","1","ارض","Land","63","سكنية","Residential","300","الراشديه","Al Rashidiya","1681.54","3000000.00"
"24","تقييم عقار","Property Evaluation","2008","347","06-03-2008","800000000.00","COMPLETED","6647.21","1","ارض","Land",null,"","","330","مرسى دبي","Marsa Dubai","6647.21","800000000.00"
"24","تقييم عقار","Property Evaluation","2005","349","01-06-2005","22021200.00","COMPLETED","1704.86","1","ارض","Land","62","تجارية","Commercial","388","عود ميثا","Oud Metha","1704.86","22021200.00"
"24","تقييم عقار","Property Evaluation","2004","354","16-05-2004","1200000.00","COMPLETED","211.35","1","ارض","Land","62","تجارية","Commercial","233","هور العنز","Hor Al Anz","211.34","1200000.00"
"24","تقييم عقار","Property Evaluation","2007","354","01-05-2007","18172800.00","COMPLETED","2108.90","1","ارض","Land","63","سكنية","Residential","247","الخبيصى","Al Khabeesi","2110.39","18172800.00"
"24","تقييم عقار","Property Evaluation","2009","357","26-03-2009","2107800.00","COMPLETED","1958.21","1","ارض","Land","64","زراعية","Agricultural","345","ورسان الثالثه","Al Warsan Third","1958.21","2107800.00"
"24","تقييم عقار","Property Evaluation","2009","5","06-01-2009","17913000.00","COMPLETED","2377.39","1","ارض","Land","62","تجارية","Commercial","361","محيصنه الرابعه","Muhaisanah Fourth","2377.00","17913000.00"
"24","تقييم عقار","Property Evaluation","2004","7","05-01-2004","16000000.00","COMPLETED","1018.59","1","ارض","Land","62","تجارية","Commercial","249","المطينه","Al Muteena","1000.74","16000000.00"
"24","تقييم عقار","Property Evaluation","2008","7","02-01-2008","10000000.00","COMPLETED","285.12","1","ارض","Land","62","تجارية","Commercial","362","نايف","Naif","285.12","10000000.00"
"24","تقييم عقار","Property Evaluation","2006","9","14-01-2006","2800000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","369","البرشاء الثالثه","Al Barsha Third","1393.59","2800000.00"
"24","تقييم عقار","Property Evaluation","2009","10","06-01-2009","33000000.00","COMPLETED","5421.08","1","ارض","Land","62","تجارية","Commercial","368","البرشاء الاولى","Al Barsha First","5421.15","33000000.00"
"24","تقييم عقار","Property Evaluation","2003","11","12-01-2003","2628080.00","COMPLETED","1878.13","1","ارض","Land","63","سكنية","Residential","303","ام سقيم الاولى","Um Suqaim First","1882.00","2628080.00"
"24","تقييم عقار","Property Evaluation","2008","13","03-01-2008","65000000.00","COMPLETED","777.41","1","ارض","Land","62","تجارية","Commercial","237","السبخه","Al Sabkha","777.74","65000000.00"
"24","تقييم عقار","Property Evaluation","2009","13","07-01-2009","10000000.00","COMPLETED","4180.64","1","ارض","Land","63","سكنية","Residential","401","وادي العمردي","Wadi Al Amardi","2090.33","10000000.00"
"24","تقييم عقار","Property Evaluation","2008","17","03-01-2008","990500.00","COMPLETED","26.29","1","ارض","Land","62","تجارية","Commercial","254","البطين","Al Buteen","26.29","990500.00"
"24","تقييم عقار","Property Evaluation","2008","19","03-01-2008","5206950.00","COMPLETED","1382.12","1","ارض","Land","62","تجارية","Commercial","230","ابو هيل","Abu Hail","1322.85","5206950.00"
"24","تقييم عقار","Property Evaluation","2003","20","18-01-2003","400000.00","COMPLETED","340.02","1","ارض","Land","63","سكنية","Residential","300","الراشديه","Al Rashidiya","340.03","400000.00"
"24","تقييم عقار","Property Evaluation","2004","23","11-01-2004","60000000.00","COMPLETED","2655.07","1","ارض","Land","62","تجارية","Commercial","278","منخول","Mankhool","2655.08","60000000.00"
"24","تقييم عقار","Property Evaluation","2010","1512","02-11-2010","3204000.00","COMPLETED","496.10","1","ارض","Land","62","تجارية","Commercial","233","هور العنز","Hor Al Anz","496.10","3204000.00"
"24","تقييم عقار","Property Evaluation","2005","25","12-01-2005","2229900.00","COMPLETED","1381.10","1","ارض","Land","63","سكنية","Residential","232","مردف","Mirdif","1381.00","2229900.00"
"24","تقييم عقار","Property Evaluation","2008","27","03-01-2008","7000000.00","COMPLETED","73.76","1","ارض","Land","62","تجارية","Commercial","237","السبخه","Al Sabkha","74.20","7000000.00"
"24","تقييم عقار","Property Evaluation","2007","29","17-01-2007","10000000.00","COMPLETED","2782.63","1","ارض","Land","63","سكنية","Residential","232","مردف","Mirdif","2782.63","10000000.00"
"24","تقييم عقار","Property Evaluation","2009","30","11-01-2009","750000.00","COMPLETED","232.26","1","ارض","Land","62","تجارية","Commercial","230","ابو هيل","Abu Hail","232.00","750000.00"
"24","تقييم عقار","Property Evaluation","2008","31","03-01-2008","33000000.00","COMPLETED","499.82","1","ارض","Land","62","تجارية","Commercial","237","السبخه","Al Sabkha","499.87","33000000.00"
"24","تقييم عقار","Property Evaluation","2004","36","14-01-2004","8000000.00","COMPLETED","230.59","1","ارض","Land","62","تجارية","Commercial","339","المرر","Al Mararr","230.69","8000000.00"
"24","تقييم عقار","Property Evaluation","2007","38","18-01-2007","16478150.00","COMPLETED","2355.18","1","ارض","Land","62","تجارية","Commercial","361","محيصنه الرابعه","Muhaisanah Fourth","2355.18","16478150.00"
"24","تقييم عقار","Property Evaluation","2009","39","11-01-2009","8000000.00","COMPLETED","312.71","1","ارض","Land","62","تجارية","Commercial","254","البطين","Al Buteen","313.48","8000000.00"
"24","تقييم عقار","Property Evaluation","2003","40","01-02-2003","2500000.00","COMPLETED","309.18","1","ارض","Land","62","تجارية","Commercial","362","نايف","Naif","309.18","2500000.00"
"24","تقييم عقار","Property Evaluation","2005","41","29-01-2005","7800000.00","COMPLETED","2913.44","1","ارض","Land","63","سكنية","Residential","304","ام سقيم الثانيه","Um Suqaim Second","2913.44","7800000.00"
"24","تقييم عقار","Property Evaluation","2007","42","18-01-2007","16937700.00","COMPLETED","2420.87","1","ارض","Land","62","تجارية","Commercial","361","محيصنه الرابعه","Muhaisanah Fourth","3254.67","16937700.00"
"24","تقييم عقار","Property Evaluation","2008","44","03-01-2008","7000000.00","COMPLETED","961.73","1","ارض","Land","63","سكنية","Residential","232","مردف","Mirdif","961.73","7000000.00"
"24","تقييم عقار","Property Evaluation","2005","49","29-01-2005","2500000.00","COMPLETED","50.73","1","ارض","Land","62","تجارية","Commercial","254","البطين","Al Buteen","50.73","2500000.00"
"24","تقييم عقار","Property Evaluation","2008","49","06-01-2008","12000000.00","COMPLETED","1820.90","1","ارض","Land","63","سكنية","Residential","317","جميرا الاولى","Jumeirah First","1820.90","12000000.00"
"24","تقييم عقار","Property Evaluation","2006","50","22-01-2006","9000000.00","COMPLETED","2090.32","1","ارض","Land","63","سكنية","Residential","318","جميرا الثالثه","Jumeirah Third","2090.32","9000000.00"
"24","تقييم عقار","Property Evaluation","2006","51","22-01-2006","3500000.00","COMPLETED","929.03","1","ارض","Land","63","سكنية","Residential","375","جميرا الثانيه","Jumeirah Second","929.03","3500000.00"
"24","تقييم عقار","Property Evaluation","2008","52","06-01-2008","19308600.00","COMPLETED","2110.38","1","ارض","Land","63","سكنية","Residential","247","الخبيصى","Al Khabeesi","2110.39","19308600.00"
"24","تقييم عقار","Property Evaluation","2004","56","25-01-2004","16500000.00","COMPLETED","1675.97","1","ارض","Land","62","تجارية","Commercial","362","نايف","Naif","1675.97","16500000.00"
"24","تقييم عقار","Property Evaluation","2006","58","24-01-2006","2520000.00","COMPLETED","390.19","1","ارض","Land","63","سكنية","Residential","244","المرقبات","Al Murqabat","390.19","2520000.00"
"24","تقييم عقار","Property Evaluation","2008","58","09-01-2008","28000000.00","COMPLETED","458.66","1","ارض","Land","62","تجارية","Commercial","367","السوق الكبير","Al Suq Al Kabeer","458.66","28000000.00"
"24","تقييم عقار","Property Evaluation","2008","60","13-01-2008","4000000.00","COMPLETED","929.03","1","ارض","Land","63","سكنية","Residential","234","هور العنز شرق","Hor Al Anz East","929.03","4000000.00"
"24","تقييم عقار","Property Evaluation","2003","62","26-02-2003","1000000.00","COMPLETED","929.03","1","ارض","Land","63","سكنية","Residential","328","الجافليه","Al Jafliya","929.00","1000000.00"
"24","تقييم عقار","Property Evaluation","2004","64","07-02-2004","7000000.00","COMPLETED","271.74","1","ارض","Land","62","تجارية","Commercial","367","السوق الكبير","Al Suq Al Kabeer","271.74","7000000.00"
"24","تقييم عقار","Property Evaluation","2004","65","08-02-2004","45000000.00","COMPLETED","3716.12","1","ارض","Land","62","تجارية","Commercial","234","هور العنز شرق","Hor Al Anz East","3716.12","45000000.00"
"24","تقييم عقار","Property Evaluation","2009","66","19-01-2009","48056777.00","COMPLETED","44646.19","1","ارض","Land","62","تجارية","Commercial","413","جزر العالم","World Islands","44646.19","48056777.00"
"24","تقييم عقار","Property Evaluation","2007","69","29-01-2007","18000000.00","COMPLETED","3716.12","1","ارض","Land","62","تجارية","Commercial","378","القرهود","Al Garhoud","3716.12","18000000.00"
"24","تقييم عقار","Property Evaluation","2009","71","19-01-2009","2880000.00","COMPLETED","334.45","1","ارض","Land","62","تجارية","Commercial","267","الرفاعه","Al Raffa","334.45","2880000.00"
"24","تقييم عقار","Property Evaluation","2006","72","29-01-2006","5000000.00","COMPLETED","936.00","1","ارض","Land","63","سكنية","Residential","318","جميرا الثالثه","Jumeirah Third","936.00","5000000.00"
"24","تقييم عقار","Property Evaluation","2003","76","02-03-2003","13345500.00","COMPLETED","2479.67","1","ارض","Land","62","تجارية","Commercial","269","الحمريه","Al Hamriya","2479.67","13345500.00"
"24","تقييم عقار","Property Evaluation","2004","76","09-02-2004","11000000.00","COMPLETED","669.46","1","ارض","Land","62","تجارية","Commercial","271","الكرامه","Al Karama","669.46","11000000.00"
"24","تقييم عقار","Property Evaluation","2005","76","12-02-2005","30000000.00","COMPLETED","5574.18","1","ارض","Land","62","تجارية","Commercial","355","النهده الاولى","Al Nahda First","5574.18","30000000.00"
"24","تقييم عقار","Property Evaluation","2005","79","14-02-2005","3000000.00","COMPLETED","950.58","1","ارض","Land","62","تجارية","Commercial","230","ابو هيل","Abu Hail","950.58","3000000.00"
"24","تقييم عقار","Property Evaluation","2008","79","20-01-2008","55000000.00","COMPLETED","1395.87","1","ارض","Land","62","تجارية","Commercial","244","المرقبات","Al Murqabat","1395.87","55000000.00"
"24","تقييم عقار","Property Evaluation","2004","83","11-02-2004","1500000.00","COMPLETED","104.52","1","ارض","Land","62","تجارية","Commercial","339","المرر","Al Mararr","104.52","1500000.00"
"24","تقييم عقار","Property Evaluation","2006","86","30-01-2006","18000000.00","COMPLETED","289.39","1","ارض","Land","62","تجارية","Commercial","238","الضغايه","Al Dhagaya","289.41","18000000.00"
"24","تقييم عقار","Property Evaluation","2004","89","16-02-2004","1200000.00","COMPLETED","211.35","1","ارض","Land","63","سكنية","Residential","233","هور العنز","Hor Al Anz","211.35","1200000.00"
"24","تقييم عقار","Property Evaluation","2009","92","29-01-2009","48000000.00","COMPLETED","6137.92","1","ارض","Land","63","سكنية","Residential","317","جميرا الاولى","Jumeirah First","6129.09","48000000.00"
"24","تقييم عقار","Property Evaluation","2006","99","04-02-2006","66300000.00","COMPLETED","4106.31","1","ارض","Land","62","تجارية","Commercial","378","القرهود","Al Garhoud","4108.36","66300000.00"
"24","تقييم عقار","Property Evaluation","2005","102","21-02-2005","1500000.00","COMPLETED","542.18","1","ارض","Land","62","تجارية","Commercial","233","هور العنز","Hor Al Anz","542.18","1500000.00"
"24","تقييم عقار","Property Evaluation","2007","103","12-02-2007","7500000.00","COMPLETED","232.26","1","ارض","Land","63","سكنية","Residential","266","السطوه","Al Satwa","232.26","7500000.00"
"24","تقييم عقار","Property Evaluation","2007","105","12-02-2007","6144000.00","COMPLETED","2378.32","1","ارض","Land","62","تجارية","Commercial","368","البرشاء الاولى","Al Barsha First","2378.32","6144000.00"
"24","تقييم عقار","Property Evaluation","2005","111","27-02-2005","1200000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","316","المزهر الاولى","Al Mizhar First","1394.00","1200000.00"
"24","تقييم عقار","Property Evaluation","2004","114","25-02-2004","4500000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","232","مردف","Mirdif","1393.55","4500000.00"
"24","تقييم عقار","Property Evaluation","2007","114","13-02-2007","15827000.00","COMPLETED","1470.38","1","ارض","Land","62","تجارية","Commercial","368","البرشاء الاولى","Al Barsha First","1470.38","15827000.00"
"24","تقييم عقار","Property Evaluation","2005","121","09-03-2005","17000000.00","COMPLETED","64879.65","1","ارض","Land","64","زراعية","Agricultural","401","وادي العمردي","Wadi Al Amardi","64879.65","17000000.00"
"24","تقييم عقار","Property Evaluation","2006","122","05-02-2006","12000000.00","COMPLETED","348.39","1","ارض","Land","63","سكنية","Residential","339","المرر","Al Mararr","348.39","12000000.00"
"24","تقييم عقار","Property Evaluation","2008","126","04-02-2008","6000000.00","COMPLETED","1148.00","1","ارض","Land","62","تجارية","Commercial","249","المطينه","Al Muteena","1148.00","6000000.00"
"24","تقييم عقار","Property Evaluation","2005","128","12-03-2005","1800000.00","COMPLETED","929.03","1","ارض","Land","63","سكنية","Residential","231","الممزر","Al Mamzer","929.03","1800000.00"
"24","تقييم عقار","Property Evaluation","2007","129","21-02-2007","1925000.00","COMPLETED","357.68","1","ارض","Land","63","سكنية","Residential","276","البدع","Al Bada","357.68","1925000.00"
"24","تقييم عقار","Property Evaluation","2007","131","22-02-2007","16000000.00","COMPLETED","3716.12","1","ارض","Land","63","سكنية","Residential","304","ام سقيم الثانيه","Um Suqaim Second","3716.09","16000000.00"
"24","تقييم عقار","Property Evaluation","2008","131","05-02-2008","18000000.00","COMPLETED","2787.09","1","ارض","Land","63","سكنية","Residential","303","ام سقيم الاولى","Um Suqaim First","2787.09","18000000.00"
"24","تقييم عقار","Property Evaluation","2006","140","05-02-2006","180000000.00","COMPLETED","1970.29","1","ارض","Land","62","تجارية","Commercial","255","رقه البطين","Rega Al Buteen","1970.29","180000000.00"
"24","تقييم عقار","Property Evaluation","2003","145","25-03-2003","14000000.00","COMPLETED","590.86","1","ارض","Land","62","تجارية","Commercial","238","الضغايه","Al Dhagaya","590.86","14000000.00"
"24","تقييم عقار","Property Evaluation","2006","147","06-02-2006","7000000.00","COMPLETED","185.81","1","ارض","Land","62","تجارية","Commercial","339","المرر","Al Mararr","185.81","7000000.00"
"24","تقييم عقار","Property Evaluation","2006","148","06-02-2006","33632400.00","COMPLETED","2603.79","1","ارض","Land","62","تجارية","Commercial","368","البرشاء الاولى","Al Barsha First","2603.79","33632400.00"
"24","تقييم عقار","Property Evaluation","2008","151","10-02-2008","4050000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","264","ند الحمر","Nad Al Hamar","1393.55","4050000.00"
"24","تقييم عقار","Property Evaluation","2007","156","04-03-2007","4393200.00","COMPLETED","1360.47","1","ارض","Land","63","سكنية","Residential","230","ابو هيل","Abu Hail","1360.47","4393200.00"
"24","تقييم عقار","Property Evaluation","2009","159","19-02-2009","14658000.00","COMPLETED","1361.77","1","ارض","Land","62","تجارية","Commercial","368","البرشاء الاولى","Al Barsha First","1361.77","14658000.00"
"24","تقييم عقار","Property Evaluation","2004","169","13-03-2004","1800000.00","COMPLETED","163.97","1","ارض","Land","62","تجارية","Commercial","235","عيال ناصر","Eyal Nasser","164.00","1800000.00"
"24","تقييم عقار","Property Evaluation","2005","169","29-03-2005","800000.00","COMPLETED","231.05","1","ارض","Land","63","سكنية","Residential","230","ابو هيل","Abu Hail","231.00","800000.00"
"24","تقييم عقار","Property Evaluation","2004","170","13-03-2004","3500000.00","COMPLETED","307.79","1","ارض","Land","62","تجارية","Commercial","269","الحمريه","Al Hamriya","301.29","3500000.00"
"24","تقييم عقار","Property Evaluation","2007","171","06-03-2007","17250000.00","COMPLETED","1602.58","1","ارض","Land","62","تجارية","Commercial","368","البرشاء الاولى","Al Barsha First","1602.58","17250000.00"
"24","تقييم عقار","Property Evaluation","2008","174","17-02-2008","5985000.00","COMPLETED","1463.22","1","ارض","Land","63","سكنية","Residential","369","البرشاء الثالثه","Al Barsha Third","1463.22","5985000.00"
"24","تقييم عقار","Property Evaluation","2008","176","17-02-2008","18000000.00","COMPLETED","429.49","1","ارض","Land","63","سكنية","Residential","362","نايف","Naif","429.49","18000000.00"
"24","تقييم عقار","Property Evaluation","2003","178","20-04-2003","12120000.00","COMPLETED","2585.30","1","ارض","Land","63","سكنية","Residential","325","ام هرير الاولى","Um Hurair First","2251.97","12120000.00"
"24","تقييم عقار","Property Evaluation","2003","181","20-04-2003","28000000.00","COMPLETED","2699.76","1","ارض","Land","62","تجارية","Commercial","249","المطينه","Al Muteena","2588.28","28000000.00"
"24","تقييم عقار","Property Evaluation","2005","181","02-04-2005","4800000.00","COMPLETED","2787.09","1","ارض","Land","63","سكنية","Residential","232","مردف","Mirdif","2787.09","4800000.00"
"24","تقييم عقار","Property Evaluation","2007","184","07-03-2007","12000000.00","COMPLETED","2386.68","1","ارض","Land","63","سكنية","Residential","317","جميرا الاولى","Jumeirah First","2376.46","12000000.00"
"24","تقييم عقار","Property Evaluation","2009","188","23-02-2009","12286000.00","COMPLETED","1426.76","1","ارض","Land",null,"","","267","الرفاعه","Al Raffa","1426.80","12286000.00"
"24","تقييم عقار","Property Evaluation","2004","189","17-03-2004","3608700.00","COMPLETED","2235.06","1","ارض","Land",null,"","","276","البدع","Al Bada","2235.06","3608700.00"
"24","تقييم عقار","Property Evaluation","2003","195","23-04-2003","4290000.00","COMPLETED","3065.80","1","ارض","Land","63","سكنية","Residential","231","الممزر","Al Mamzer","3065.80","4290000.00"
"24","تقييم عقار","Property Evaluation","2007","196","07-03-2007","17000000.00","COMPLETED","3603.15","1","ارض","Land","63","سكنية","Residential","303","ام سقيم الاولى","Um Suqaim First","3603.15","17000000.00"
"24","تقييم عقار","Property Evaluation","2004","201","22-03-2004","450000.00","COMPLETED","163.42","1","ارض","Land","62","تجارية","Commercial","267","الرفاعه","Al Raffa","164.08","450000.00"
"24","تقييم عقار","Property Evaluation","2003","202","26-04-2003","800000.00","COMPLETED","775.74","1","ارض","Land","63","سكنية","Residential","382","الوحيده","Al Waheda","775.74","800000.00"
"24","تقييم عقار","Property Evaluation","2006","209","01-03-2006","1500000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","264","ند الحمر","Nad Al Hamar","1394.00","1500000.00"
"24","تقييم عقار","Property Evaluation","2003","210","27-04-2003","350000.00","COMPLETED","230.40","1","ارض","Land","63","سكنية","Residential","233","هور العنز","Hor Al Anz","228.08","350000.00"
"24","تقييم عقار","Property Evaluation","2005","211","10-04-2005","1275000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","316","المزهر الاولى","Al Mizhar First","1393.55","1275000.00"
"24","تقييم عقار","Property Evaluation","2006","217","04-03-2006","2600000.00","COMPLETED","79.25","1","ارض","Land","62","تجارية","Commercial","238","الضغايه","Al Dhagaya","79.55","2600000.00"
"24","تقييم عقار","Property Evaluation","2006","221","05-03-2006","2000000.00","COMPLETED","921.13","1","ارض","Land","63","سكنية","Residential","300","الراشديه","Al Rashidiya","921.13","2000000.00"
"24","تقييم عقار","Property Evaluation","2006","222","05-03-2006","2600000.00","COMPLETED","1858.06","1","ارض","Land","63","سكنية","Residential","359","الطوار الثالثه","Al Twar Third","1858.06","2600000.00"
"24","تقييم عقار","Property Evaluation","2005","224","17-04-2005","9000000.00","COMPLETED","345.32","1","ارض","Land","62","تجارية","Commercial","254","البطين","Al Buteen","320.07","9000000.00"
"24","تقييم عقار","Property Evaluation","2003","229","05-05-2003","15000000.00","COMPLETED","886.85","1","ارض","Land","62","تجارية","Commercial","249","المطينه","Al Muteena","886.85","15000000.00"
"24","تقييم عقار","Property Evaluation","2008","236","03-03-2008","19211900.00","COMPLETED","1552.04","1","ارض","Land","6","سكن عمال","Labor Camp","438","الطي","Al Ttay","1552.04","19211900.00"
"24","تقييم عقار","Property Evaluation","2004","239","04-04-2004","675000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","264","ند الحمر","Nad Al Hamar","1393.55","675000.00"
"24","تقييم عقار","Property Evaluation","2007","241","26-03-2007","113397660.00","COMPLETED","5267.49","1","ارض","Land","62","تجارية","Commercial","371","الصفوح الثانيه","Al Safouh Second","5267.49","113397660.00"
"24","تقييم عقار","Property Evaluation","2004","242","04-04-2004","1500000.00","COMPLETED","58.90","1","ارض","Land","62","تجارية","Commercial","254","البطين","Al Buteen","58.93","1500000.00"
"24","تقييم عقار","Property Evaluation","2007","246","27-03-2007","45975200.00","COMPLETED","85424.68","1","ارض","Land","63","سكنية","Residential","397","الخوانيج الثانية","Al Khawaneej Second","85424.68","45975200.00"
"24","تقييم عقار","Property Evaluation","2006","254","20-03-2006","1500000.00","COMPLETED","445.93","1","ارض","Land","63","سكنية","Residential","382","الوحيده","Al Waheda","445.93","1500000.00"
"24","تقييم عقار","Property Evaluation","2009","255","15-03-2009","4500000.00","COMPLETED","929.03","1","ارض","Land","63","سكنية","Residential","318","جميرا الثالثه","Jumeirah Third","929.03","4500000.00"
"24","تقييم عقار","Property Evaluation","2002","256","11-06-2002","5200000.00","COMPLETED","3716.12","1","ارض","Land","63","سكنية","Residential","374","ام الشيف","Um Al Sheif","3716.12","5200000.00"
"24","تقييم عقار","Property Evaluation","2002","266","19-06-2002","500000000.00","COMPLETED","572696.55","1","ارض","Land","62","تجارية","Commercial","312","محيصنه الاولى","Muhaisanah First","200373.63","500000000.00"
